name,onet_cd
Teacher Assistants,25-9041.00
"Dentists, General",29-1021.00
Industrial Engineers,17-2112.00
"Computer-Controlled Machine Tool Operators, Metal and Plastic",51-4011.00
"Internists, General",29-1063.00
"Opticians, Dispensing",29-2081.00
Range Managers,19-1031.02
Executive Secretaries and Executive Administrative Assistants,43-6011.00
Network and Computer Systems Administrators,15-1142.00
Machinists,51-4041.00
Mechatronics Engineers,17-2199.05
Print Binding and Finishing Workers,51-5113.00
"Education Administrators, Postsecondary",11-9033.00
Energy Engineers,17-2199.03
Document Management Specialists,15-1199.12
"Paving, Surfacing, and Tamping Equipment Operators",47-2071.00
Ship and Boat Captains,53-5021.01
Insurance Claims Clerks,43-9041.01
Pharmacists,29-1051.00
Regulatory Affairs Managers,11-9199.01
Clinical Research Coordinators,11-9121.01
"History Teachers, Postsecondary",25-1125.00
Surveyors,17-1022.00
Security Management Specialists,13-1199.02
Quality Control Systems Managers,11-3051.01
Search Marketing Strategists,15-1199.10
"Child, Family, and School Social Workers",21-1021.00
Computer Systems Engineers/Architects,15-1199.02
"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",51-4193.00
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00
Tile and Marble Setters,47-2044.00
Word Processors and Typists,43-9022.00
Childcare Workers,39-9011.00
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011.00
Substance Abuse and Behavioral Disorder Counselors,21-1011.00
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",51-4012.00
Construction Laborers,47-2061.00
"Counselors, All Other",21-1019.00
Manufacturing Engineers,17-2199.04
Radiologic Technologists,29-2034.00
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",51-6063.00
First-Line Supervisors of Non-Retail Sales Workers,41-1012.00
Receptionists and Information Clerks,43-4171.00
"Middle School Teachers, Except Special and Career/Technical Education",25-2022.00
Rehabilitation Counselors,21-1015.00
Curators,25-4012.00
"Farmworkers, Farm, Ranch, and Aquacultural Animals",45-2093.00
Psychiatric Aides,31-1013.00
"Medical Scientists, Except Epidemiologists",19-1042.00
Magnetic Resonance Imaging Technologists,29-2035.00
Administrative Services Managers,11-3011.00
"Library Assistants, Clerical",43-4121.00
"Educational, Guidance, School, and Vocational Counselors",21-1012.00
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-7042.00
Healthcare Social Workers,21-1022.00
Automotive Body and Related Repairers,49-3021.00
Pharmacy Technicians,29-2052.00
Police Patrol Officers,33-3051.01
Accountants and Auditors,13-2011.00
Instructional Coordinators,25-9031.00
Cleaners of Vehicles and Equipment,53-7061.00
Mental Health and Substance Abuse Social Workers,21-1023.00
Photographers,27-4021.00
"Meat, Poultry, and Fish Cutters and Trimmers",51-3022.00
Fiberglass Laminators and Fabricators,51-2091.00
"Woodworkers, All Other",51-7099.00
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023.00
Adhesive Bonding Machine Operators and Tenders,51-9191.00
"Umpires, Referees, and Other Sports Officials",27-2023.00
"Special Education Teachers, Middle School",25-2053.00
Avionics Technicians,49-2091.00
Pathologists,29-1069.07
"Sociology Teachers, Postsecondary",25-1067.00
Gas Plant Operators,51-8092.00
"Pump Operators, Except Wellhead Pumpers",53-7072.00
"Life, Physical, and Social Science Technicians, All Other",19-4099.00
